group1,group2,meandiff,p-adj,lower,upper,reject
HARD_Backmarker_Early,HARD_Backmarker_Mid,1.4755,0.9999,-2.5004,5.4514,False
HARD_Backmarker_Early,HARD_Top10_Late,-1.5262,0.5756,-3.6026,0.5501,False
HARD_Backmarker_Early,HARD_Top5_Late,-1.8155,0.1072,-3.7556,0.1246,False
HARD_Backmarker_Early,INTERMEDIATE_Backmarker_Late,4.2564,0.0,2.277,6.2359,True
HARD_Backmarker_Early,INTERMEDIATE_Backmarker_Mid,4.4013,0.0,2.8214,5.9811,True
HARD_Backmarker_Early,INTERMEDIATE_Midfield_Late,4.1767,0.0,2.3302,6.0232,True
HARD_Backmarker_Early,INTERMEDIATE_Midfield_Mid,4.819,0.0,3.2926,6.3455,True
HARD_Backmarker_Early,INTERMEDIATE_Top10_Late,3.6013,0.0,1.8755,5.3271,True
HARD_Backmarker_Early,INTERMEDIATE_Top10_Mid,3.9953,0.0,2.4024,5.5881,True
HARD_Backmarker_Early,INTERMEDIATE_Top5_Late,3.1904,0.0,1.3439,5.0369,True
HARD_Backmarker_Early,INTERMEDIATE_Top5_Mid,3.198,0.0,1.5908,4.8052,True
HARD_Backmarker_Early,MEDIUM_Backmarker_Early,0.18,1.0,-1.4432,1.8031,False
HARD_Backmarker_Early,MEDIUM_Backmarker_Late,-0.7769,0.9984,-2.5187,0.9649,False
HARD_Backmarker_Early,MEDIUM_Backmarker_Mid,2.8997,0.0,1.1888,4.6107,True
HARD_Backmarker_Early,MEDIUM_Midfield_Early,-0.0373,1.0,-1.5083,1.4336,False
HARD_Backmarker_Early,MEDIUM_Midfield_Mid,2.1834,0.0002,0.5685,3.7984,True
HARD_Backmarker_Early,MEDIUM_Top10_Early,-0.2234,1.0,-1.6752,1.2284,False
HARD_Backmarker_Early,MEDIUM_Top10_Late,-1.2241,0.4279,-2.7867,0.3386,False
HARD_Backmarker_Early,MEDIUM_Top10_Mid,1.6021,0.0281,0.0677,3.1365,True
HARD_Backmarker_Early,MEDIUM_Top5_Early,-0.7286,0.9902,-2.1804,0.7232,False
HARD_Backmarker_Early,MEDIUM_Top5_Late,-1.8455,0.09,-3.7856,0.0946,False
HARD_Backmarker_Early,MEDIUM_Top5_Mid,1.4034,0.1252,-0.1193,2.9261,False
HARD_Backmarker_Early,SOFT_Backmarker_Early,0.4596,1.0,-1.4147,2.3338,False
