LapTime,MaxSpeed,AvgThrottle,AirTemp,Driver,TeamName,GridGroup
94.793,301.0,68.86562022632727,16.5,RUS,Mercedes,Top5
93.721,303.0,72.03703007214098,16.5,HAM,Mercedes,Top5
94.304,307.0,69.14917296058378,16.5,NOR,McLaren,Top5
95.359,300.0,67.91465532155406,16.5,VER,Red Bull Racing,Top5
93.988,328.0,67.53365902338517,16.5,PIA,McLaren,Top5
94.228,301.0,71.67546166282338,16.5,SAI,Ferrari,Top10
95.28,301.0,71.48036829254609,16.5,LEC,Ferrari,Midfield
95.713,310.0,67.2839381514866,16.5,STR,Aston Martin,Top10
95.447,318.0,66.10665467443755,16.5,HUL,Haas F1 Team,Top10
95.014,325.0,65.68601686617201,16.4,ALO,Aston Martin,Top10
94.738,305.0,69.22842276972874,16.4,TSU,RB,Midfield
94.873,329.0,63.229278084308284,16.4,ALB,Williams,Top10
95.258,306.0,68.26989300971442,16.4,SAR,Williams,Midfield
94.661,300.0,69.48516389877551,16.4,MAG,Haas F1 Team,Backmarker
95.885,318.0,67.01566662166395,16.4,RIC,RB,Midfield
94.829,336.0,66.57319908113912,16.4,PER,Red Bull Racing,Backmarker
95.498,296.0,71.49708704794831,16.4,BOT,Kick Sauber,Backmarker
98.735,294.0,67.89989609480374,16.4,OCO,Alpine,Backmarker
98.106,301.0,64.88418057807614,16.4,ZHO,Kick Sauber,Midfield
96.365,303.0,67.06667484954731,16.5,RUS,Mercedes,Top5
95.071,319.0,68.96609020398611,16.5,HAM,Mercedes,Top5
94.125,308.0,68.25700541443254,16.5,NOR,McLaren,Top5
94.269,301.0,69.38413562042601,16.5,PIA,McLaren,Top5
96.172,309.0,65.72197071609362,16.5,VER,Red Bull Racing,Top5
94.31,304.0,71.46103811378478,16.5,SAI,Ferrari,Top10
95.951,298.0,71.0471634391701,16.5,LEC,Ferrari,Midfield
95.789,325.0,66.90173476532199,16.5,STR,Aston Martin,Top10
95.834,325.0,65.81710487847047,16.5,HUL,Haas F1 Team,Top10
95.88,332.0,65.85444395432268,16.5,ALO,Aston Martin,Top10
95.392,306.0,68.45812355374342,16.5,TSU,RB,Midfield
95.323,322.0,63.79723617784471,16.5,ALB,Williams,Top10
94.9,304.0,66.87680496291038,16.5,SAR,Williams,Midfield
94.73,301.0,67.66000207578473,16.5,MAG,Haas F1 Team,Backmarker
95.384,300.0,66.87611618840513,16.5,PER,Red Bull Racing,Backmarker
96.827,306.0,66.13872214040404,16.5,RIC,RB,Midfield
96.075,300.0,68.6199430244217,16.5,BOT,Kick Sauber,Backmarker
98.497,297.0,68.99135196069533,16.6,OCO,Alpine,Backmarker
99.637,299.0,63.915136619166674,16.6,ZHO,Kick Sauber,Midfield
103.711,300.0,61.06188326800038,16.6,HAM,Mercedes,Top5
104.151,302.0,57.536715519410436,16.6,RUS,Mercedes,Top5
101.436,307.0,61.684328478653526,16.6,NOR,McLaren,Top5
100.728,303.0,58.50544938271779,16.6,PIA,McLaren,Top5
102.485,299.0,59.112771533328655,16.6,VER,Red Bull Racing,Top5
100.51,302.0,63.38868653257366,16.4,SAI,Ferrari,Top10
105.868,296.0,60.36029544007056,16.4,LEC,Ferrari,Midfield
107.568,304.0,56.3414785136258,16.4,STR,Aston Martin,Top10
105.752,309.0,56.807688084511966,16.4,HUL,Haas F1 Team,Top10
107.27,311.0,55.17757601507985,16.4,ALO,Aston Martin,Top10
104.585,310.0,59.61590673345109,16.4,TSU,RB,Midfield
104.619,306.0,53.443616728461265,16.4,ALB,Williams,Top10
104.09,305.0,56.50136193855352,16.4,SAR,Williams,Midfield
103.505,301.0,57.31399257453112,16.4,MAG,Haas F1 Team,Backmarker
101.868,303.0,61.864311887250885,16.4,PER,Red Bull Racing,Backmarker
104.922,299.0,59.318643809836,16.4,RIC,RB,Midfield
104.426,298.0,61.670181593745944,16.4,BOT,Kick Sauber,Backmarker
101.731,295.0,65.13163162585796,16.4,OCO,Alpine,Backmarker
106.313,298.0,56.6998891673824,16.2,ZHO,Kick Sauber,Midfield
100.021,306.0,66.645008896012,16.2,HAM,Mercedes,Top5
97.704,305.0,66.75464090713126,16.2,NOR,McLaren,Top5
99.962,310.0,62.61993404732475,16.2,RUS,Mercedes,Top5
97.348,308.0,65.25203612718573,16.2,PIA,McLaren,Top5
97.108,302.0,64.8868521950425,16.2,VER,Red Bull Racing,Top5
96.538,308.0,66.60902903963473,16.2,SAI,Ferrari,Top10
120.269,294.0,65.45180284460206,16.2,LEC,Ferrari,Midfield
97.529,298.0,66.19092561037328,16.2,HUL,Haas F1 Team,Top10
97.491,302.0,67.08904480644328,16.2,STR,Aston Martin,Top10
96.48,315.0,65.96385111045613,16.2,ALO,Aston Martin,Top10
96.875,313.0,66.09304144640623,16.2,TSU,RB,Midfield
96.53,308.0,63.22509493122336,16.2,ALB,Williams,Top10
96.116,307.0,65.57614123119103,16.1,SAR,Williams,Midfield
95.181,305.0,64.87683420483968,16.1,MAG,Haas F1 Team,Backmarker
119.15,300.0,62.713833206473524,16.1,PER,Red Bull Racing,Backmarker
97.33,300.0,65.29615688789825,16.1,RIC,RB,Midfield
98.542,307.0,63.61062349713751,16.1,BOT,Kick Sauber,Backmarker
121.025,287.0,63.57630924729214,16.1,OCO,Alpine,Backmarker
91.513,305.0,72.23561229980794,15.9,NOR,McLaren,Top5
91.819,300.0,71.69148065736164,15.9,PIA,McLaren,Top5
92.156,304.0,73.31435540138972,15.9,HAM,Mercedes,Top5
92.753,305.0,70.59014403553695,15.9,RUS,Mercedes,Top5
93.488,302.0,70.15869294541106,15.9,VER,Red Bull Racing,Top5
93.507,306.0,69.38032582623273,15.9,SAI,Ferrari,Top10
92.649,304.0,70.21773684914547,15.9,HUL,Haas F1 Team,Top10
92.999,303.0,68.22983179532876,15.9,ALO,Aston Martin,Top10
93.291,305.0,68.30675845824088,15.9,STR,Aston Martin,Top10
93.724,305.0,68.96468660532038,15.9,TSU,RB,Midfield
93.646,314.0,65.70023407127292,15.9,ALB,Williams,Top10
93.632,306.0,68.48760261949506,15.9,SAR,Williams,Midfield
93.484,307.0,68.47016731944036,15.9,MAG,Haas F1 Team,Backmarker
94.722,300.0,67.79625731891184,15.9,RIC,RB,Midfield
102.846,297.0,64.98557923477307,15.9,LEC,Ferrari,Midfield
95.235,299.0,69.60659339330341,15.9,BOT,Kick Sauber,Backmarker
101.997,298.0,59.28013472021708,15.6,PER,Red Bull Racing,Backmarker
99.736,293.0,69.61110024409551,15.6,OCO,Alpine,Backmarker
90.86,305.0,71.08875344734678,15.6,NOR,McLaren,Top5
91.169,302.0,71.42691972078661,15.6,PIA,McLaren,Top5
91.095,306.0,74.76187048699818,15.6,HAM,Mercedes,Top5
91.344,306.0,72.46799335207756,15.6,RUS,Mercedes,Top5
91.904,299.0,72.81126697923644,15.6,VER,Red Bull Racing,Top5
92.157,302.0,73.94799611127549,15.6,SAI,Ferrari,Top10
104.56,297.0,63.808657557393744,15.6,ZHO,Kick Sauber,Midfield
92.233,304.0,72.07654236091491,15.4,HUL,Haas F1 Team,Top10
92.673,300.0,68.5228558871641,15.4,ALO,Aston Martin,Top10
92.495,304.0,69.26422549204534,15.4,STR,Aston Martin,Top10
92.681,305.0,70.1907929554924,15.4,TSU,RB,Midfield
93.086,309.0,66.03512839996095,15.4,ALB,Williams,Top10
92.826,307.0,69.28768838852412,15.4,SAR,Williams,Midfield
92.766,306.0,70.12086006201336,15.4,MAG,Haas F1 Team,Backmarker
93.015,302.0,70.30111694674744,15.4,RIC,RB,Midfield
94.03,297.0,73.06943507029301,15.4,BOT,Kick Sauber,Backmarker
104.352,294.0,65.45626912843423,15.4,LEC,Ferrari,Midfield
104.936,296.0,60.06051360866332,15.4,PER,Red Bull Racing,Backmarker
115.208,289.0,68.2383327870721,15.2,OCO,Alpine,Backmarker
91.176,304.0,71.91464716491184,15.2,NOR,McLaren,Top5
90.976,304.0,70.62038559468435,15.2,PIA,McLaren,Top5
91.107,306.0,74.06032964033434,15.2,HAM,Mercedes,Top5
91.497,307.0,73.77721819531358,15.2,RUS,Mercedes,Top5
92.143,300.0,72.69822712357889,15.2,VER,Red Bull Racing,Top5
92.297,304.0,74.09863643204001,15.2,SAI,Ferrari,Top10
92.612,300.0,71.90277619299425,15.2,HUL,Haas F1 Team,Top10
110.248,290.0,56.284077020359554,15.2,ZHO,Kick Sauber,Midfield
92.593,306.0,70.58862167409201,15.2,ALO,Aston Martin,Top10
93.062,305.0,69.78499277079712,15.2,STR,Aston Martin,Top10
93.106,305.0,70.73398805317139,15.2,TSU,RB,Midfield
92.891,308.0,67.79455755971473,15.2,ALB,Williams,Top10
94.494,306.0,67.45364994879404,15.2,SAR,Williams,Midfield
93.278,329.0,68.07676206326704,15.2,MAG,Haas F1 Team,Backmarker
94.224,300.0,68.28999408002933,15.2,RIC,RB,Midfield
94.076,296.0,72.38543589205835,15.2,BOT,Kick Sauber,Backmarker
106.593,298.0,63.57369666947345,15.2,LEC,Ferrari,Midfield
106.214,297.0,58.95749214511333,15.2,PER,Red Bull Racing,Backmarker
91.629,306.0,71.12505832372076,15.2,NOR,McLaren,Top5
91.392,304.0,70.20564267316342,15.2,PIA,McLaren,Top5
91.635,307.0,74.15682113933887,15.2,HAM,Mercedes,Top5
91.968,304.0,72.11597099794928,15.2,RUS,Mercedes,Top5
93.02,299.0,70.68154012441676,15.2,VER,Red Bull Racing,Top5
92.734,307.0,72.66637892599393,15.2,SAI,Ferrari,Top10
95.488,298.0,71.14916240534748,15.1,OCO,Alpine,Backmarker
93.352,303.0,71.47640574230117,15.1,HUL,Haas F1 Team,Top10
94.088,303.0,67.4359587600329,15.1,ALO,Aston Martin,Top10
94.585,305.0,67.9805432197094,15.1,STR,Aston Martin,Top10
94.106,326.0,67.22136614206303,15.1,TSU,RB,Midfield
93.96,332.0,63.671680849226,15.1,ALB,Williams,Top10
93.625,302.0,68.08562166955916,15.1,MAG,Haas F1 Team,Backmarker
94.037,320.0,66.77429456172376,15.1,SAR,Williams,Midfield
96.483,299.0,66.55162460321054,15.1,RIC,RB,Midfield
110.081,299.0,56.178052517193144,15.1,ZHO,Kick Sauber,Midfield
97.35,292.0,67.10009096122677,15.1,BOT,Kick Sauber,Backmarker
111.732,292.0,59.26831312724985,15.1,LEC,Ferrari,Midfield
110.729,302.0,53.83993867290323,15.1,PER,Red Bull Racing,Backmarker
94.307,302.0,67.56703438047298,15.1,NOR,McLaren,Top5
94.271,307.0,66.45229740468521,15.1,PIA,McLaren,Top5
94.988,301.0,69.5780463844899,15.1,HAM,Mercedes,Top5
94.781,304.0,66.95969290248452,15.1,RUS,Mercedes,Top5
96.063,298.0,66.30453928888502,15.1,VER,Red Bull Racing,Top5
95.143,322.0,68.57281252431272,15.1,SAI,Ferrari,Top10
98.005,295.0,69.06031558138088,15.1,OCO,Alpine,Backmarker
95.918,304.0,66.45460178748385,15.1,HUL,Haas F1 Team,Top10
95.687,303.0,66.72135376929282,15.1,ALO,Aston Martin,Top10
95.351,301.0,69.5954818544536,15.1,STR,Aston Martin,Top10
95.473,317.0,67.02444598681137,15.1,TSU,RB,Midfield
95.612,317.0,62.77216496837719,15.1,ALB,Williams,Top10
95.15,302.0,66.23682725110746,15.1,MAG,Haas F1 Team,Backmarker
96.166,304.0,64.2239983436072,15.1,SAR,Williams,Midfield
98.725,300.0,64.26809693865276,15.1,RIC,RB,Midfield
99.761,298.0,65.06842575419468,15.1,BOT,Kick Sauber,Backmarker
108.867,298.0,58.39768551260024,15.1,ZHO,Kick Sauber,Midfield
101.515,302.0,60.62862173138351,15.1,NOR,McLaren,Top5
100.622,306.0,59.059530055867484,15.1,PIA,McLaren,Top5
100.792,304.0,63.80757768914266,15.1,HAM,Mercedes,Top5
99.949,305.0,63.34680569967941,15.1,RUS,Mercedes,Top5
109.301,302.0,60.31695348048639,15.1,LEC,Ferrari,Midfield
101.491,297.0,59.04906920486863,15.1,VER,Red Bull Racing,Top5
102.481,305.0,60.26156181077903,15.1,SAI,Ferrari,Top10
107.327,300.0,57.34400426067704,15.1,PER,Red Bull Racing,Backmarker
107.432,291.0,59.641060885132674,15.1,OCO,Alpine,Backmarker
101.853,300.0,61.98778875346372,15.1,HUL,Haas F1 Team,Top10
103.618,306.0,58.997679123769146,15.1,ALO,Aston Martin,Top10
100.784,304.0,62.138633784149256,15.1,STR,Aston Martin,Top10
103.26,308.0,59.99724597484797,15.1,TSU,RB,Midfield
103.771,304.0,55.43624782442589,15.1,ALB,Williams,Top10
105.466,299.0,56.61273257881123,15.1,MAG,Haas F1 Team,Backmarker
104.642,306.0,55.46663162445562,15.1,SAR,Williams,Midfield
104.813,299.0,55.72595128701676,15.1,RIC,RB,Midfield
109.533,288.0,54.32790965825052,15.1,BOT,Kick Sauber,Backmarker
108.245,299.0,58.53950118807977,15.1,ZHO,Kick Sauber,Midfield
104.806,302.0,57.2462485944906,15.1,NOR,McLaren,Top5
109.747,305.0,52.18314042754022,15.1,PIA,McLaren,Top5
105.183,303.0,60.93189222336549,15.1,HAM,Mercedes,Top5
107.698,303.0,54.10743586346846,15.1,RUS,Mercedes,Top5
119.169,296.0,60.31161576855096,15.1,VER,Red Bull Racing,Top5
121.664,292.0,61.85935202386301,15.1,SAI,Ferrari,Top10
105.655,301.0,62.75144586177562,15.1,LEC,Ferrari,Midfield
105.736,300.0,57.77452050757201,15.1,PER,Red Bull Racing,Backmarker
118.71,287.0,49.823170715259465,15.1,OCO,Alpine,Backmarker
122.727,294.0,58.054538896702894,15.1,HUL,Haas F1 Team,Top10
121.611,300.0,59.52232958609357,15.1,STR,Aston Martin,Top10
108.513,299.0,55.933057427004165,15.1,ALO,Aston Martin,Top10
108.126,302.0,56.58498725461169,15.1,TSU,RB,Midfield
107.754,302.0,49.42878338266582,15.1,ALB,Williams,Top10
111.325,295.0,51.53875509987828,15.1,MAG,Haas F1 Team,Backmarker
112.246,302.0,49.07875124122639,15.1,SAR,Williams,Midfield
122.788,299.0,56.24988881024159,15.1,RIC,RB,Midfield
105.113,295.0,59.885713061628564,15.1,ZHO,Kick Sauber,Midfield
120.915,301.0,59.35658339218247,15.1,NOR,McLaren,Top5
120.866,297.0,61.09274688454559,15.1,HAM,Mercedes,Top5
112.976,298.0,46.46867933448868,15.1,PIA,McLaren,Top5
124.342,302.0,55.44328919881288,15.1,RUS,Mercedes,Top5
105.912,301.0,60.29213538568475,15.1,LEC,Ferrari,Midfield
112.538,298.0,48.505354445375005,15.1,PER,Red Bull Racing,Backmarker
101.176,300.0,64.68331044833103,15.1,VER,Red Bull Racing,Top5
102.641,301.0,66.0922921257936,15.1,SAI,Ferrari,Top10
123.448,304.0,59.409524944735495,15.1,TSU,RB,Midfield
122.736,287.0,61.35783385760844,15.0,OCO,Alpine,Backmarker
101.897,301.0,62.771279987090146,15.0,HUL,Haas F1 Team,Top10
102.187,300.0,59.46234505825287,15.0,STR,Aston Martin,Top10
103.338,301.0,60.48758800143379,15.0,RIC,RB,Midfield
102.562,293.0,63.98560912545548,15.0,BOT,Kick Sauber,Backmarker
