LapTime,MaxSpeed,AvgThrottle,AirTemp,Driver,TeamName,GridGroup
105.266,298.0,57.90981104667631,14.5,MAG,Haas F1 Team,Backmarker
105.684,300.0,57.27115885812167,14.5,SAR,Williams,Midfield
104.855,299.0,61.037927019728684,14.5,RIC,RB,Midfield
105.552,292.0,61.55997966147388,14.5,BOT,Kick Sauber,Backmarker
105.029,291.0,61.46535591691782,14.5,ZHO,Kick Sauber,Midfield
103.078,300.0,59.92043348292835,14.5,NOR,McLaren,Top5
102.757,302.0,62.63183218257861,14.5,HAM,Mercedes,Top5
102.447,298.0,61.37825523604968,14.5,VER,Red Bull Racing,Top5
102.794,298.0,66.50287327157601,14.6,SAI,Ferrari,Top10
103.954,300.0,61.40826605624798,14.6,PIA,McLaren,Top5
103.217,297.0,65.41455102710827,14.6,LEC,Ferrari,Midfield
104.263,300.0,60.12121425114011,14.6,HUL,Haas F1 Team,Top10
104.171,300.0,59.92762517170331,14.6,STR,Aston Martin,Top10
104.641,303.0,59.18781660998237,14.6,PER,Red Bull Racing,Backmarker
104.375,299.0,61.08236666558141,14.6,ALO,Aston Martin,Top10
104.923,299.0,62.45016086833716,14.6,TSU,RB,Midfield
105.29,294.0,62.17826065341929,14.6,OCO,Alpine,Backmarker
105.216,302.0,63.03051227606302,14.6,ALB,Williams,Top10
106.135,298.0,56.56652313671859,14.6,MAG,Haas F1 Team,Backmarker
