Time_x,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Abbreviation,GridPosition,ClassifiedPosition,Status,MaxSpeed,AvgSpeed,AvgThrottle,AvgBrake,AvgRPM,LapStartTime_s,Time_y,AirTemp,Humidity,TrackTemp,TotalSectorTime,Winner,Podium,RacePhase,GridGroup,SpeedCategory,Driver_ALO,Driver_BOT,Driver_HAM,Driver_HUL,Driver_LEC,Driver_MAG,Driver_NOR,Driver_OCO,Driver_PER,Driver_PIA,Driver_RIC,Driver_RUS,Driver_SAI,Driver_SAR,Driver_STR,Driver_TSU,Driver_VER,Driver_ZHO,TeamName_Aston Martin,TeamName_Ferrari,TeamName_Haas F1 Team,TeamName_Kick Sauber,TeamName_McLaren,TeamName_Mercedes,TeamName_RB,TeamName_Red Bull Racing,TeamName_Williams,Compound_INTERMEDIATE,Compound_MEDIUM,Compound_SOFT,Predicted_LapTime
0 days 02:04:00.218000,20,92.071,0.9332136345352964,3.0,,,29.092,-0.4792077570103477,25.372,0 days 02:02:57.273000,0 days 02:03:34.880000,0 days 02:04:00.252000,292.0,255.0,249.0,301.0,True,3.0,True,Haas F1 Team,0 days 02:02:28.147000,2024-07-07 15:07:25.176,1,11.0,False,,False,True,MAG,17.0,12.0,Finished,-0.2764269141875667,0.7011379530470292,0.45090335214027855,0.5001750946369409,1.0025882687714023,7348.147,7325.931,-0.7486750278822236,74.0,0.1715226928321783,92.071,0,0,Late,Backmarker,VeryFast,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,91.91607995300825
0 days 01:10:35.823000,1,92.038,-1.2613005812730191,1.0,,,29.655,-0.6886537035170675,25.296,0 days 01:09:33.495000,0 days 01:10:10.582000,0 days 01:10:35.878000,296.0,256.0,245.0,296.0,False,8.0,True,Red Bull Racing,0 days 01:09:03.785000,2024-07-07 14:14:00.814,1,3.0,False,,False,True,VER,4.0,2.0,Finished,-0.599059748005319,0.5050099787351291,0.48893063028005945,-0.0005314977393582807,0.6551072207587649,4143.785,4085.539,1.0245566477456738,60.0,0.7266820616860644,92.03800000000001,0,1,Early,Top5,Fast,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,92.03689246129807
0 days 01:40:30.229000,63,107.698,0.041692234363168185,1.0,,0 days 01:40:23.995000,31.368,2.852593915111958,30.451,0 days 01:39:13.954000,0 days 01:39:59.833000,0 days 01:40:30.284000,289.0,243.0,,295.0,False,27.0,True,Mercedes,0 days 01:38:42.531000,2024-07-07 14:43:39.560,1,4.0,False,,False,False,RUS,1.0,,Retired,-0.2764269141875667,-1.8150350913977296,-2.4380982430286346,0.8548428894595412,-0.687360268608521,5922.531,5885.749,-0.7486750278822236,68.0,-0.9784502855080122,107.69800000000001,0,0,Mid,Top5,Slow,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,108.42360141962381
0 days 01:19:41.776000,63,91.478,-0.84982916580896,1.0,,,29.486,-0.7410151901437488,25.035,0 days 01:18:39.839000,0 days 01:19:16.796000,0 days 01:19:41.831000,296.0,258.0,246.0,299.0,False,14.0,True,Mercedes,0 days 01:18:10.298000,2024-07-07 14:23:07.327,1,1.0,False,,False,True,RUS,1.0,,Retired,-0.4915154700660682,0.6759179186047475,1.14023526616847,-1.2699450725718797,1.8335118888075645,4690.298,4685.594,1.2973615209192007,59.0,0.3301396553618607,91.478,0,0,Early,Top5,Fast,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,90.16477344818827
0 days 02:16:16.450000,1,89.56,1.550420757731385,3.0,,,29.166,-1.147018101833702,24.445,0 days 02:15:16.111000,0 days 02:15:52.060000,0 days 02:16:16.505000,293.0,263.0,253.0,292.0,False,11.0,True,Red Bull Racing,0 days 02:14:46.890000,2024-07-07 15:19:43.919,1,2.0,False,,False,True,VER,4.0,2.0,Finished,-0.38397119212681746,1.1044007278768213,1.5056703240826426,-1.1974862265028485,1.2338002009587157,8086.89,8046.052,0.06973959163834459,71.0,0.4887566178915416,89.56,0,1,Late,Top5,VeryFast,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,90.25241616741239
0 days 02:00:12.314000,14,98.684,0.7960564960472767,2.0,,0 days 02:00:06.460000,31.784,0.7045646214189871,26.354,0 days 01:59:05.506000,0 days 01:59:46.052000,0 days 02:00:12.406000,295.0,245.0,,295.0,False,11.0,True,Aston Martin,0 days 01:58:33.630000,2024-07-07 15:03:30.659,1,8.0,False,,False,False,ALO,10.0,8.0,Finished,-0.7066040259445697,-0.7185569664652602,-0.3655272119382148,0.34964546344385955,-0.7621792923475107,7113.63,7085.907,-1.430687210816031,77.0,-0.06640275096234313,98.684,0,0,Late,Top10,Medium,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,99.13267793611148
0 days 01:05:57.098000,63,91.628,-1.4670362890050488,1.0,,,29.426,-0.6805980901898875,25.095,0 days 01:04:54.951000,0 days 01:05:32.058000,0 days 01:05:57.153000,291.0,258.0,245.0,292.0,False,5.0,True,Mercedes,0 days 01:04:25.470000,2024-07-07 14:09:22.499,1,1.0,False,,False,True,RUS,1.0,,Retired,-0.8141483038838205,0.6905182799016529,1.0712126787156802,-2.131368382420557,1.4004930771003445,3865.47,3845.509,0.7517517745721518,60.0,0.01290573030249735,91.628,0,0,Early,Top5,VeryFast,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,90.37425566670865
0 days 01:55:14.834000,22,104.782,0.590320788315247,2.0,,,32.984,1.7860307105931168,28.567,0 days 01:54:03.096000,0 days 01:54:46.327000,0 days 01:55:14.894000,294.0,240.0,229.0,298.0,False,8.0,True,RB,0 days 01:53:30.052000,2024-07-07 14:58:27.081,1,9.0,False,,False,True,TSU,13.0,10.0,Finished,-0.599059748005319,-1.0986495138726837,-0.9516955807874282,0.5464409326249882,-0.9269249274113346,6810.052,6785.879,-1.430687210816031,76.0,-1.0577587667728525,104.78200000000001,0,0,Late,Midfield,Slow,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,102.62319482846995
0 days 02:14:47.609000,4,90.556,1.4818421884873751,3.0,,,29.274,-1.0475312772430094,25.086,0 days 02:13:46.388000,0 days 02:14:22.584000,0 days 02:14:47.670000,295.0,262.0,250.0,300.0,False,11.0,False,McLaren,0 days 02:13:17.053000,2024-07-07 15:18:14.082,1,3.0,False,,False,True,NOR,3.0,3.0,Finished,0.2612944755086871,0.9091879386973991,0.8530236301839149,-1.39977675721865,0.07508469625672491,7997.053,7986.026,-0.06666284494841637,71.0,0.3697938959942802,90.556,0,1,Late,Top5,VeryFast,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,90.65607194274506
0 days 01:31:15.423000,22,93.724,-0.369779181100891,1.0,,,30.003,-0.33702618178559196,25.761,0 days 01:30:11.762000,0 days 01:30:49.722000,0 days 01:31:15.483000,299.0,254.0,249.0,304.0,False,21.0,True,RB,0 days 01:29:41.699000,2024-07-07 14:34:38.728,1,10.0,False,,False,True,TSU,13.0,10.0,Finished,-0.06133835830906515,0.34378970641436185,0.1903535363524716,0.5186952290878976,0.14507339295382754,5381.699,5345.647,0.34254446481186895,67.0,-0.6612163604486488,93.72399999999999,0,0,Mid,Midfield,Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,94.81145718885556
